rainfall,temperature,soil_quality,crop_yield
120.5,25.3,7,4.2
98.2,23.8,6,3.8
145.7,26.1,8,4.8
87.3,22.5,5,3.2
156.4,27.2,9,5.1
112.8,24.7,7,4.1
134.6,25.9,8,4.6
78.9,21.8,4,2.9
167.2,28.1,9,5.4
95.4,23.2,6,3.5
128.7,25.1,7,4.3
109.3,24.3,6,3.9
142.8,26.4,8,4.9
82.6,22.1,5,3.1
158.9,27.6,9,5.2
115.7,24.9,7,4.2
137.4,25.7,8,4.7
91.2,23.0,6,3.6
149.6,26.8,8,5.0
104.8,24.1,6,3.7
126.3,25.4,7,4.4
71.5,21.2,4,2.7
163.8,27.9,9,5.3
118.6,24.6,7,4.0
140.2,26.2,8,4.8
85.7,22.3,5,3.0
153.1,27.4,9,5.1
111.4,24.5,6,3.8
133.9,25.6,7,4.5
76.8,21.6,4,2.8
160.3,27.7,9,5.2
107.5,24.2,6,3.7
129.8,25.3,7,4.3
94.6,23.1,5,3.4
146.7,26.6,8,4.9
88.9,22.7,5,3.2
155.2,27.3,9,5.0
113.7,24.8,6,3.9
135.4,25.8,7,4.6
80.3,21.9,4,2.9
165.7,27.8,9,5.3
116.9,24.7,6,4.0
138.1,26.0,8,4.7
92.4,23.3,5,3.5
151.8,26.9,8,5.1
106.2,24.0,6,3.6
127.5,25.2,7,4.4
73.7,21.4,4,2.8
162.4,27.5,9,5.2
119.8,24.9,6,4.1
141.6,26.3,8,4.8
86.2,22.5,5,3.1
154.7,27.1,9,5.0
